path,parent_path,default_tag,note
01_Project_governance,,piu_admin,proposition
01_Project_governance/Steering_committee,01_Project_governance,piu_admin,proposition
01_Project_governance/Technical_committee,01_Project_governance,piu_admin,proposition
01_Project_governance/Financing_agreement,01_Project_governance,piu_admin,proposition
01_Project_governance/Project_operational_manual,01_Project_governance,piu_admin,proposition
02_Procurement,,procurement,proposition
02_Procurement/Procurement_plan,02_Procurement,procurement,proposition
02_Procurement/Tender_documents,02_Procurement,procurement,proposition
02_Procurement/Evaluation_reports,02_Procurement,procurement,proposition
02_Procurement/No_objection_letters,02_Procurement,procurement,proposition
02_Procurement/Signed_contracts,02_Procurement,procurement,proposition
02_Procurement/Claims_and_complaints,02_Procurement,procurement,proposition
03_Design,,technical_documentation,proposition
03_Design/Concept_and_schematic_design,03_Design,technical_documentation,proposition
03_Design/Detailed_design_Student_Center,03_Design,technical_documentation,proposition
03_Design/Detailed_design_Training_venues,03_Design,technical_documentation,proposition
03_Design/Energy_audits,03_Design,technical_documentation,proposition
04_Works,,technical_documentation,proposition
04_Works/Student_Center,04_Works,technical_documentation,proposition
04_Works/Training_venues,04_Works,technical_documentation,proposition
04_Works/Site_meeting_minutes,04_Works,technical_documentation,proposition
05_Environmental_and_social,,environmental_social,proposition
05_Environmental_and_social/ESIA,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/ESMP,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/Contractor_ESMP,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/Permits,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/Monitoring_reports,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/Grievances,05_Environmental_and_social,environmental_social,proposition
05_Environmental_and_social/Student_relocation,05_Environmental_and_social,environmental_social,proposition
06_Monitoring_and_reporting,,piu_admin,proposition
06_Monitoring_and_reporting/Monthly_reports,06_Monitoring_and_reporting,piu_admin,proposition
06_Monitoring_and_reporting/Quarterly_reports,06_Monitoring_and_reporting,piu_admin,proposition
06_Monitoring_and_reporting/Indicators,06_Monitoring_and_reporting,piu_admin,proposition
07_Finance,,piu_admin,proposition
07_Finance/Budget,07_Finance,piu_admin,proposition
07_Finance/Payments,07_Finance,piu_admin,proposition
07_Finance/Audits,07_Finance,piu_admin,proposition
08_Communication,,,proposition
09_Planning,,,proposition
