successor_wbs,predecessor_wbs,dependency_type,lag_days,source_formula
TV.2.2,TV.2.1,FS,0,TV!C25 = I24
TV.2.3,TV.2.2,FS,0,TV!C26 = I25
TV.2.4,TV.1,FS,0,"TV!C27 = MAX(I15,I26)"
TV.2.4,TV.2.3,FS,0,"TV!C27 = MAX(I15,I26)"
TV.2.5,TV.2.4,FS,0,TV!C28 = I27
TV.2.6,TV.2.5,FS,0,TV!C29 = I28
TV.2.7,TV.2.6,FS,0,TV!C30 = I29
TV.3.1.1,TV.2.7,FS,0,TV!C40 = I30
TV.3.1.2,TV.3.1.1,FS,0,TV!C41 = I40
TV.3.1.3,TV.3.1.2,FS,0,TV!C42 = I41
TV.3.2,TV.3.1.3,FS,0,TV!C43 = I42
SC.2.1,SC.1,FS,0,SC!C23 = I15
SC.2.3,SC.2.2,FS,0,SC!C25 = I24
SC.2.4,SC.2.3,FS,0,SC!C26 = I25
SC.2.5,SC.1,FS,0,"SC!C27 = MAX(I15,I23)"
SC.2.5,SC.2.1,FS,0,"SC!C27 = MAX(I15,I23)"
SC.2.6,SC.2.5,FS,0,SC!C28 = I27
SC.2.7,SC.2.6,FS,0,SC!C29 = I28
SC.2.8,SC.2.7,FS,0,SC!C30 = I29
